Date,BTC-USD,ETH-USD,BNB-USD,SOL-USD
2020-04-10,6865.4931640625,158.41244506835938,13.73772430419922,0.9510539770126344
2020-04-11,6859.0830078125,158.2160186767578,13.804287910461426,0.7768189907073975
2020-04-12,6971.091796875,161.14242553710938,14.375110626220703,0.8825070261955261
2020-04-13,6845.03759765625,156.27955627441406,15.03442668914795,0.7778319716453552
2020-04-14,6842.427734375,157.5963897705078,15.525075912475586,0.6619250178337097
2020-04-15,6642.10986328125,153.28689575195312,14.593927383422852,0.646651029586792
2020-04-16,7116.80419921875,172.15737915039062,15.702730178833008,0.6908159852027893
2020-04-17,7096.1845703125,171.63858032226562,15.735082626342772,0.6607279777526855
2020-04-18,7257.6650390625,186.91400146484372,16.593172073364258,0.6810960173606873
2020-04-19,7189.4248046875,181.61495971679688,16.13993263244629,0.6069689989089966
2020-04-20,6881.95849609375,172.2971649169922,15.085403442382812,0.538811981678009
2020-04-21,6880.3232421875,172.73770141601562,15.205772399902344,0.5876590013504028
2020-04-22,7117.20751953125,182.59957885742188,15.693160057067873,0.6916009783744812
2020-04-23,7429.724609375,185.02867126464844,16.006208419799805,0.6274570226669312
2020-04-24,7550.90087890625,189.2369384765625,16.01641845703125,0.6342419981956482
2020-04-25,7569.93603515625,195.5153045654297,16.305418014526367,0.6433290243148804
2020-04-26,7679.8671875,197.31753540039065,16.38376808166504,0.6355059742927551
2020-04-27,7795.60107421875,197.22471618652344,16.463214874267578,0.5723720192909241
2020-04-28,7807.05859375,198.41539001464844,16.444286346435547,0.6612930297851562
2020-04-29,8801.0380859375,216.96823120117188,17.4937744140625,0.7458400130271912
2020-04-30,8658.5537109375,207.60205078125,17.03397560119629,0.6910449862480164
2020-05-01,8864.7666015625,214.21910095214844,17.564992904663086,0.7287939786911011
2020-05-02,8988.5966796875,215.32537841796875,17.584903717041016,0.7158759832382202
2020-05-03,8897.46875,210.9331512451172,17.126298904418945,0.6795349717140198
2020-05-04,8912.654296875,208.17401123046875,17.10075569152832,0.6674910187721252
2020-05-05,9003.0703125,206.7743988037109,16.919775009155273,0.6418370008468628
2020-05-06,9268.76171875,204.0557861328125,16.657045364379883,0.6225839853286743
2020-05-07,9951.5185546875,212.28941345214844,17.013198852539062,0.6129779815673828
2020-05-08,9842.666015625,212.9915771484375,17.24147605895996,0.6049219965934753
2020-05-09,9593.896484375,211.60012817382807,16.93596076965332,0.6045269966125488
2020-05-10,8756.4306640625,188.5995635986328,15.295668601989746,0.5370339751243591
2020-05-11,8601.7958984375,185.912841796875,15.09754467010498,0.5152729749679565
2020-05-12,8804.4775390625,189.3125,15.741053581237791,0.5385760068893433
2020-05-13,9269.9873046875,199.1932830810547,16.138877868652344,0.5505319833755493
2020-05-14,9733.7216796875,202.9490966796875,16.357799530029297,0.5691180229187012
2020-05-15,9328.197265625,195.62266540527344,15.75437355041504,0.5597519874572754
2020-05-16,9377.013671875,200.6771240234375,16.051780700683594,0.599120020866394
2020-05-17,9670.7392578125,207.15869140625,16.314645767211914,0.6129890084266663
2020-05-18,9726.5751953125,214.52505493164065,16.63626480102539,0.6526700258255005
2020-05-19,9729.0380859375,213.45111083984372,17.1546630859375,0.6244540214538574
2020-05-20,9522.9814453125,210.09674072265625,16.888025283813477,0.5791559815406799
2020-05-21,9081.76171875,199.88360595703125,16.12238121032715,0.6089149713516235
2020-05-22,9182.5771484375,207.169189453125,16.63959312438965,0.6388750076293945
2020-05-23,9209.287109375,208.69439697265625,16.588193893432617,0.6130310297012329
2020-05-24,8790.3681640625,202.37034606933597,16.083438873291016,0.5490530133247375
2020-05-25,8906.9345703125,205.3197479248047,16.400907516479492,0.6008570194244385
2020-05-26,8835.052734375,201.90231323242188,16.212547302246094,0.5733069777488708
2020-05-27,9181.017578125,208.86343383789065,16.493284225463867,0.5909850001335144
2020-05-28,9525.7509765625,219.8404235839844,17.05933952331543,0.5751550197601318
2020-05-29,9439.1240234375,220.6751251220703,17.041629791259766,0.5794150233268738
2020-05-30,9700.4140625,242.34559631347656,17.743417739868164,0.5879330039024353
2020-05-31,9461.05859375,230.9757080078125,17.04047203063965,0.5700219869613647
2020-06-01,10167.2685546875,246.99176025390625,17.914941787719727,0.5774949789047241
2020-06-02,9529.8037109375,237.21905517578125,17.239303588867188,0.5646690130233765
2020-06-03,9656.7177734375,244.1793212890625,17.5454044342041,0.5866209864616394
2020-06-04,9800.63671875,244.4263916015625,17.565874099731445,0.5872989892959595
2020-06-05,9665.533203125,241.22198486328125,17.688785552978516,0.6611549854278564
2020-06-06,9653.6796875,241.9313201904297,17.535934448242188,0.6224430203437805
2020-06-07,9758.8525390625,245.1672515869141,17.44703483581543,0.6165779829025269
2020-06-08,9771.4892578125,246.30990600585935,17.393030166625977,0.6683130264282227
2020-06-09,9795.7001953125,244.9114532470703,17.43537712097168,0.6580020189285278
2020-06-10,9870.0947265625,247.4449462890625,17.41046714782715,0.6448670029640198
2020-06-11,9321.78125,231.70266723632807,16.30892562866211,0.5737419724464417
2020-06-12,9480.84375,237.4932098388672,16.669139862060547,0.5938689708709717
2020-06-13,9475.27734375,238.90884399414065,16.823734283447266,0.608942985534668
2020-06-14,9386.7880859375,234.1147003173828,16.65624237060547,0.5870770215988159
2020-06-15,9450.7021484375,229.9289093017578,16.384801864624023,0.5706390142440796
2020-06-16,9538.0244140625,234.41616821289065,16.42195701599121,0.5855759978294373
2020-06-17,9480.2548828125,233.0282745361328,16.402542114257812,0.5815619826316833
2020-06-18,9411.8408203125,232.1011657714844,16.208589553833008,0.6209560036659241
